KEY,FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
EXR.D.AUD.EUR.SP00.A,D,AUD,EUR,SP00,A,1999-01-05,1.8944,A,,,,P1D,,A,,,,,,,,,,4,,4F0,,Euro/Australian dollar,"ECB reference exchange rate, Euro/Australian dollar, 2:15 pm (C.E.T.)",AUD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,1999-01-05,1.7965,A,,,,P1D,,A,,,,,,,,,,4,,4F0,,Euro/Canadian dollar,"ECB reference exchange rate, Euro/Canadian dollar, 2:15 pm (C.E.T.)",CAD,0
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,1999-01-05,1.6123,A,,,,P1D,,A,,,,,,,,,,4,,4F0,,Euro/Swiss franc,"ECB reference exchange rate, Euro/Swiss franc, 2:15 pm (C.E.T.)",CHF,0
EXR.D.CYP.EUR.SP00.A,D,CYP,EUR,SP00,A,1999-01-05,0.5823,A,,,,P1D,,A,,,,,,,,,,5,,4F0,,Euro/Cyprus pound,"ECB reference exchange rate, Euro/Cyprus pound, 2:15 pm (C.E.T.)",CYP,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,1999-01-05,34.917,A,,,,P1D,,A,,,,,,,,,,3,,4F0,,Euro/Czech koruna,"ECB reference exchange rate, Euro/Czech koruna, 2:15 pm (C.E.T.)",CZK,0
EXR.D.DKK.EUR.SP00.A,D,DKK,EUR,SP00,A,1999-01-05,7.4495,A,,,,P1D,,A,,,,,,,,,,4,,4F0,,Euro/Danish krone,"ECB reference exchange rate, Euro/Danish krone, 2:15 pm (C.E.T.)",DKK,0
EXR.D.EEK.EUR.SP00.A,D,EEK,EUR,SP00,A,1999-01-05,15.6466,A,,,,P1D,,A,,,,,,,,,,4,,4F0,,Euro/Estonian kroon,"ECB reference exchange rate, Euro/Estonian kroon, 2:15 pm (C.E.T.)",EEK,0
EXR.D.GBP.EUR.SP00.A,D,GBP,EUR,SP00,A,1999-01-05,0.7122,A,,,,P1D,,A,,,,,,,,,,5,,4F0,,Euro/UK pound sterling,"ECB reference exchange rate, Euro/UK pound sterling, 2:15 pm (C.E.T.)",GBP,0
EXR.D.GRD.EUR.SP00.A,D,GRD,EUR,SP00,A,1999-01-05,324.7,A,,,,P1D,,A,,,,,,,,,,2,,4F0,,Euro/Greek drachma,"ECB reference exchange rate, Euro/Greek drachma, 2:15 pm (C.E.T.)",GRD,0
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,1999-01-05,9.1341,A,,,,P1D,,A,,,,,,,,,,4,,4F0,,Euro/Hong Kong dollar,"ECB reference exchange rate, Euro/Hong Kong dollar, 2:15 pm (C.E.T.)",HKD,0
